272013299794.70694,5.528848787393491e-13,2.230199757778725e-13
365953100674.22455,4.834182079914929e-13,2.178293111632741e-13
456982166233.2993,4.419749437495058e-13,2.1283425147498528e-13
571055567072.091,3.9523504130753417e-13,2.0795373386166566e-13
713102880121.5061,3.6135168734232923e-13,2.0318513175070926e-13
958698804766.1914,3.2302432769263843e-13,1.8985881850698902e-13
1492860522790.1196,2.8223978084263545e-13,1.6960186409471813e-13
2502721105900.042,2.411191590840757e-13,1.4813612082635894e-13
4189817290972.823,2.1531729700780408e-13,1.2378203249941304e-13
7546204860949.925,1.9220888956486776e-13,9.463116642703328e-14
12615388395046.355,1.7941319217877327e-13,7.39912352652036e-14
18195345703484.4,1.7517586825294662e-13,6.187029923073847e-14
