28683168.133420147 3788893487.7961435
62605165.72014828 5040566385.05347
88951349.73108236 6834562884.722566
92491472.77217335 6097109109.886496
112421003.50620885 4852330941.649355
159731228.00602588 5137404971.521661
166088278.26277167 7516801086.146068
391940677.4847229 11644362111.352821
423758716.0604072 13303531496.171345
650967523.045819 16401215428.119703
855467253.5565684 14631513629.574053
1420830832.5339239 21408119109.24122
2652948464.431895 25895430805.85866
2652948464.431895 27943512223.471905
4953535208.95918 34450067933.26692
4953535208.95918 37888934877.96143
4953535208.95918 41671075626.534256
